iter	Passed	Remaining
0	0	87
1	1	71
2	2	65
3	2	58
4	2	56
5	3	55
6	4	54
7	4	53
8	5	52
9	5	51
10	6	51
11	6	50
12	7	50
13	8	49
14	8	48
15	9	47
16	9	47
17	10	46
18	10	46
19	11	45
20	12	45
21	12	44
22	13	43
23	13	43
24	14	42
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	18	38
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	35
39	22	34
40	23	33
41	23	32
42	24	32
43	25	31
44	25	31
45	26	30
46	27	30
47	27	29
48	28	29
49	29	29
50	30	28
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	22
62	37	22
63	39	21
64	40	21
65	41	21
66	41	20
67	42	20
68	43	19
69	43	18
70	44	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	48	14
77	49	13
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	8
86	56	8
87	56	7
88	57	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	61	3
95	62	2
96	63	1
97	64	1
98	64	0
99	65	0
