iter	Passed	Remaining
0	151	151630
1	153	76723
2	155	51524
3	156	38908
4	157	31347
5	158	26302
6	160	22723
7	161	20069
8	163	17986
9	164	16293
10	165	14898
11	166	13727
12	167	12735
13	168	11888
14	169	11152
15	170	10494
16	171	9912
17	172	9397
18	173	8933
19	173	8520
20	174	8137
21	175	7785
22	175	7463
23	176	7185
24	177	6916
25	177	6664
26	178	6432
27	179	6215
28	179	6012
29	180	5823
30	180	5646
31	181	5480
32	181	5324
33	182	5177
34	182	5038
35	183	4907
36	183	4783
37	184	4666
38	184	4554
39	185	4448
40	185	4347
41	186	4252
42	186	4160
43	187	4073
44	188	3990
45	188	3910
46	189	3833
47	189	3760
48	190	3690
49	190	3623
50	191	3571
51	192	3510
52	193	3450
53	193	3392
54	194	3336
55	194	3282
56	195	3230
57	195	3179
58	196	3131
59	196	3083
60	197	3038
61	197	2993
62	198	2950
63	198	2909
64	199	2869
65	200	2831
66	200	2794
67	201	2757
68	201	2721
69	202	2687
70	202	2653
71	203	2620
72	203	2588
73	204	2557
74	204	2526
75	205	2497
76	205	2468
77	206	2443
78	207	2417
79	207	2390
80	208	2364
81	208	2339
82	209	2311
83	209	2287
84	210	2263
85	210	2240
86	211	2217
87	211	2195
88	212	2174
89	212	2152
90	213	2132
91	214	2112
92	214	2092
93	215	2072
94	215	2053
95	216	2034
96	216	2016
97	217	1998
98	217	1980
99	218	1963
100	218	1946
101	219	1929
102	219	1914
103	220	1898
104	220	1883
105	221	1871
106	222	1856
107	223	1841
108	223	1827
109	224	1813
110	224	1798
111	225	1785
112	225	1771
113	226	1757
114	226	1744
115	227	1731
116	227	1718
117	228	1705
118	228	1693
119	229	1681
120	229	1669
121	230	1656
122	230	1644
123	231	1633
124	231	1622
125	232	1611
126	232	1599
127	233	1588
128	234	1580
129	234	1570
130	235	1560
131	235	1549
132	236	1539
133	237	1532
134	237	1523
135	238	1513
136	238	1504
137	239	1494
138	239	1485
139	240	1476
140	240	1467
141	241	1457
142	241	1448
143	242	1440
144	242	1431
145	243	1423
146	243	1415
147	244	1406
148	244	1398
149	245	1390
150	245	1383
151	246	1375
152	247	1367
153	247	1359
154	248	1355
155	249	1348
156	249	1340
157	250	1333
158	250	1326
159	251	1319
160	252	1313
161	252	1306
162	253	1300
163	253	1293
164	254	1286
165	254	1280
166	255	1273
167	255	1266
168	256	1260
169	256	1254
170	257	1247
171	257	1241
172	258	1235
173	258	1229
174	259	1223
175	260	1217
176	260	1211
177	261	1205
178	261	1199
179	262	1194
180	262	1188
181	263	1182
182	263	1177
183	264	1171
184	264	1166
185	265	1160
186	265	1155
187	266	1150
188	267	1146
189	267	1141
190	268	1136
191	268	1131
192	269	1126
193	269	1121
194	270	1116
195	271	1111
196	271	1106
197	272	1101
198	272	1097
199	273	1092
200	273	1087
201	274	1083
202	274	1078
203	275	1073
204	275	1069
205	276	1064
206	276	1060
207	277	1056
208	277	1051
209	278	1047
210	278	1043
211	279	1038
212	279	1034
213	280	1030
214	281	1026
215	281	1021
216	282	1019
217	282	1015
218	283	1011
219	284	1006
220	284	1002
221	285	998
222	285	995
223	286	991
224	286	987
225	287	983
226	287	979
227	288	975
228	288	972
229	289	968
230	289	964
231	290	961
232	290	957
233	291	953
234	291	950
235	292	946
236	292	943
237	293	939
238	293	935
239	294	932
240	294	928
241	295	925
242	295	922
243	296	918
244	297	916
245	298	913
246	298	910
247	299	906
248	299	903
249	300	900
250	300	897
251	301	893
252	301	890
253	302	887
254	302	884
255	303	881
256	303	878
257	304	875
258	304	871
259	305	868
260	305	865
261	306	862
262	306	859
263	307	856
264	307	853
265	308	850
266	308	848
267	309	845
268	309	842
269	310	839
270	310	836
271	311	834
272	312	831
273	312	829
274	313	826
275	314	823
276	314	821
277	315	818
278	315	816
279	316	813
280	316	810
281	317	808
282	317	805
283	318	802
284	318	799
285	319	797
286	319	794
287	320	792
288	320	789
289	321	787
290	322	784
291	322	782
292	323	779
293	323	777
294	324	774
295	324	772
296	325	769
297	325	767
298	326	764
299	326	762
300	327	760
301	328	758
302	328	756
303	329	753
304	329	751
305	330	748
306	330	746
307	331	744
308	331	741
309	332	739
310	332	737
311	333	735
312	333	732
313	334	730
314	334	728
315	335	726
316	335	723
317	336	721
318	337	719
319	337	717
320	338	715
321	338	712
322	339	710
323	339	708
324	340	706
325	340	704
326	341	702
327	341	700
328	342	698
329	343	696
330	343	694
331	344	692
332	344	690
333	345	688
334	345	686
335	346	684
336	346	682
337	347	680
338	347	678
339	348	676
340	349	674
341	349	672
342	350	670
343	350	668
344	351	666
345	351	664
346	352	662
347	352	660
348	353	658
349	353	656
350	354	654
351	354	652
352	355	651
353	355	649
354	356	647
355	356	645
356	357	643
357	358	642
358	358	640
359	359	638
360	359	637
361	360	635
362	361	633
363	362	632
364	363	631
365	363	630
366	364	628
367	364	626
368	365	624
369	366	623
370	366	621
371	367	619
372	367	618
373	368	616
374	368	614
375	369	613
376	370	611
377	370	609
378	371	608
379	371	606
380	372	605
381	373	605
382	374	603
383	375	601
384	375	600
385	376	598
386	376	597
387	377	595
388	378	593
389	378	592
390	379	590
391	379	589
392	380	587
393	381	586
394	381	584
395	382	583
396	383	581
397	383	580
398	384	578
399	385	577
400	385	576
401	386	574
402	386	573
403	387	571
404	388	570
405	389	569
406	389	567
407	390	566
408	390	564
409	391	563
410	392	561
411	392	560
412	393	558
413	394	557
414	394	556
415	395	555
416	396	553
417	396	552
418	397	550
419	397	549
420	398	548
421	399	546
422	399	545
423	400	543
424	400	542
425	401	540
426	401	539
427	402	538
428	403	537
429	404	536
430	405	534
431	405	533
432	406	532
433	406	530
434	407	529
435	407	527
436	408	526
437	409	524
438	409	523
439	410	522
440	410	520
441	411	519
442	412	518
443	412	516
444	413	515
445	413	514
446	414	513
447	415	511
448	415	510
449	416	509
450	417	508
451	418	507
452	419	506
453	420	505
454	420	504
455	421	502
456	422	501
457	422	500
458	423	499
459	424	498
460	425	497
461	425	495
462	426	494
463	426	493
464	427	491
465	428	490
466	428	489
467	429	488
468	429	486
469	430	485
470	430	484
471	431	482
472	432	481
473	432	480
474	433	479
475	434	477
476	434	476
477	435	475
478	435	473
479	436	472
480	436	471
481	437	470
482	437	468
483	438	467
484	439	466
485	439	464
486	440	463
487	440	462
488	441	461
489	441	459
490	442	458
491	442	457
492	443	456
493	444	454
494	444	453
495	445	452
496	446	451
497	446	450
498	447	449
499	448	448
500	448	447
501	449	445
502	450	444
503	450	443
504	451	442
505	451	440
506	452	439
507	452	438
508	453	437
509	453	435
510	454	434
511	454	433
512	455	432
513	455	431
514	456	429
515	456	428
516	457	427
517	458	426
518	458	424
519	459	423
520	460	422
521	460	421
522	461	420
523	462	419
524	462	418
525	463	417
526	464	416
527	464	415
528	465	414
529	465	413
530	466	411
531	466	410
532	467	409
533	468	408
534	468	407
535	469	406
536	469	405
537	470	403
538	471	402
539	471	401
540	472	400
541	472	399
542	473	398
543	474	397
544	474	396
545	475	395
546	476	394
547	476	393
548	477	392
549	478	391
550	479	390
551	480	389
552	480	388
553	481	387
554	481	386
555	482	385
556	483	384
557	483	383
558	484	381
559	484	380
560	485	379
561	486	378
562	486	377
563	487	376
564	488	375
565	488	374
566	489	373
567	490	372
568	490	371
569	491	370
570	492	369
571	493	369
572	494	368
573	495	367
574	496	366
575	497	365
576	497	364
577	498	363
578	498	362
579	500	362
580	501	361
581	502	360
582	502	359
583	503	358
584	504	358
585	505	357
586	506	356
587	506	355
588	507	354
589	508	353
590	509	352
591	510	351
592	511	350
593	511	349
594	512	348
595	513	347
596	513	346
597	514	345
598	515	344
599	516	344
600	516	343
601	517	342
602	518	341
603	518	340
604	520	339
605	520	338
606	521	337
607	522	336
608	522	335
609	523	334
610	524	334
611	525	333
612	526	332
613	526	331
614	527	330
615	528	329
616	529	328
617	529	327
618	530	326
619	531	325
620	531	324
621	532	323
622	533	322
623	534	321
624	534	320
625	535	320
626	536	319
627	537	318
628	537	317
629	538	316
630	539	315
631	540	314
632	541	313
633	541	312
634	542	311
635	543	310
636	543	309
637	545	309
638	546	308
639	547	307
640	548	307
641	548	306
642	549	305
643	550	304
644	550	303
645	551	302
646	551	301
647	552	300
648	554	299
649	555	299
650	555	298
651	556	297
652	557	296
653	557	295
654	558	293
655	558	292
656	559	291
657	559	290
658	560	289
659	560	288
660	561	287
661	561	286
662	562	285
663	562	284
664	563	283
665	564	282
666	564	282
667	565	281
668	566	280
669	567	279
670	567	278
671	568	277
672	569	276
673	569	275
674	570	274
675	571	273
676	571	272
677	572	271
678	572	270
679	573	269
680	573	268
681	574	267
682	574	266
683	575	265
684	575	264
685	576	263
686	577	262
687	577	261
688	578	260
689	578	259
690	579	259
691	579	258
692	580	257
693	580	256
694	581	255
695	582	254
696	583	253
697	583	252
698	584	251
699	585	250
700	585	249
701	586	248
702	586	247
703	587	247
704	588	246
705	588	245
706	589	244
707	590	243
708	590	242
709	591	241
710	591	240
711	592	239
712	592	238
713	593	237
714	593	236
715	594	235
716	594	234
717	595	233
718	595	232
719	596	231
720	597	231
721	598	230
722	599	229
723	599	228
724	600	227
725	601	226
726	601	225
727	602	224
728	602	224
729	603	223
730	604	222
731	604	221
732	605	220
733	606	219
734	607	218
735	607	217
736	608	217
737	608	216
738	609	215
739	610	214
740	610	213
741	611	212
742	611	211
743	612	210
744	613	209
745	614	209
746	614	208
747	615	207
748	616	206
749	617	205
750	617	204
751	618	203
752	619	203
753	620	202
754	621	201
755	621	200
756	622	199
757	623	198
758	624	198
759	625	197
760	625	196
761	626	195
762	629	195
763	630	194
764	630	193
765	631	192
766	632	192
767	632	191
768	633	190
769	635	189
770	636	189
771	637	188
772	637	187
773	638	186
774	639	185
775	640	184
776	641	184
777	641	183
778	642	182
779	643	181
780	644	180
781	645	179
782	645	178
783	646	178
784	647	177
785	647	176
786	648	175
787	649	174
788	649	173
789	650	172
790	651	172
791	652	171
792	653	170
793	653	169
794	654	168
795	655	167
796	655	167
797	656	166
798	657	165
799	657	164
800	658	163
801	659	162
802	660	162
803	661	161
804	661	160
805	662	159
806	662	158
807	663	157
808	664	156
809	665	156
810	666	155
811	666	154
812	667	153
813	668	152
814	668	151
815	669	150
816	670	150
817	671	149
818	671	148
819	672	147
820	673	146
821	674	146
822	675	145
823	676	144
824	676	143
825	677	142
826	678	141
827	678	141
828	679	140
829	680	139
830	681	138
831	682	137
832	682	136
833	683	136
834	684	135
835	684	134
836	685	133
837	686	132
838	686	131
839	687	130
840	688	130
841	689	129
842	690	128
843	690	127
844	691	126
845	692	125
846	692	125
847	693	124
848	694	123
849	695	122
850	695	121
851	696	121
852	697	120
853	697	119
854	698	118
855	699	117
856	700	116
857	700	115
858	701	115
859	702	114
860	703	113
861	703	112
862	704	111
863	705	111
864	706	110
865	707	109
866	707	108
867	708	107
868	709	106
869	709	106
870	710	105
871	710	104
872	711	103
873	712	102
874	712	101
875	713	100
876	713	100
877	714	99
878	715	98
879	715	97
880	716	96
881	717	95
882	719	95
883	720	94
884	721	93
885	722	93
886	723	92
887	724	91
888	725	90
889	725	89
890	726	88
891	727	88
892	727	87
893	728	86
